discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link
DYN,Panagiotakis Giorgos,GR,300,7/2/2016,Pool World Championships 2016,Men,None,https://athletes.aidainternational.org/Profile-1e11821c-8bcc-49e0-b5e0-846749ce0c77,300M UNDERWATER SWIM ON A SINGLE BREATH | FREEDIVING WORLD RECORD BY GIORGOS PANAGIOTAKIS,https://www.youtube.com/watch?v=EMOAyeEBkQE
DYN,Malina Mateusz,PL,300,7/2/2016,Pool World Championships 2016,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Freediving World Record DYN Mateusz Malina (300 m),https://www.youtube.com/watch?v=AfnneYkYF_4
DYN,Malina Mateusz,PL,285,12/11/2015,The XIII Polish Feediving Pool Championships,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Mateusz Malina Freediving World Record Dynamic with Fins 285m,https://www.youtube.com/watch?v=8iG9TzvhJFE
DYN,Colak Goran,HR,281,6/21/2013,Individual AIDA pool World Championships,Men,https://en.wikipedia.org/wiki/Goran_%C4%8Colak,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000062d,FINALE A GORAN ČOLAK WORD RECORD DYN 281 m,https://www.youtube.com/watch?v=BF7dHfyaZXs
DYN,Colak Goran,HR,273,10/7/2011,World Championship AIDA 2011 Indoor Event,Men,https://en.wikipedia.org/wiki/Goran_%C4%8Colak,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000062d,Goran Colak - Freediving World Record 273 m – YouTube,https://www.youtube.com/watch?v=9Th8Zt-HMCg
DYN,Mullins David,NZ,265,9/27/2010,Cressi World Record Challenge,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,Dave Mullins 265 meter dynamic freediving world record ,https://www.youtube.com/watch?v=2nxOIC9dprw
DYN,Mullins David,NZ,257,8/1/2010,Wellington Winter Champs 2010,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,not_found,not_found
DYN,Sessa Frederic,FR,255,7/6/2010,7th AIDA Team World Championship 2010,Men,https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Sessa,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000a6d,FRED SESSA - NEW DYNAMIC WORLD RECORD: 255m,https://www.youtube.com/watch?v=nYtcKL_8LaM
DYN,Molchanov Alexey,RU,250,10/4/2008,Europe Evolution Cup,Men,https://en.wikipedia.org/wiki/Alexey_Molchanov,https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f,Alexey Molchanov 250 DYN,https://www.youtube.com/watch?v=nQw7In1Ff10
DYN,Mullins David,NZ,248,9/3/2008,AIDA Team World Championships 2008,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,WWC2010 - Dave MullinsDYN (257) .MP4,https://www.youtube.com/watch?v=D9ZkAJz8J7U
DYN,Mullins David,NZ,244,9/23/2007,No Bubbles Invitational - NaeNae Pool,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,Dave Mullins 244m DYN,https://www.youtube.com/watch?v=ezr7ezaUb2M
DYN,Mullins David,NZ,234,8/10/2007,Auckland Apnea Challenge 07,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,Freediving Dave Mullins 234m dyn,https://www.youtube.com/watch?v=_enZ05QcJjM
DYN,Severinsen Stig Åvall,DK,225,6/16/2007,Aarhus Triple Challenge day two,Men,https://en.wikipedia.org/wiki/Stig_Severinsen,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000044,not_found,not_found
DYN,Sietas Tom,DE,223,8/26/2006,WR Attempt - SIETAS Tom(STA-DYN-DNF),Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,not_found,not_found
DYN,Sietas Tom,DE,212,7/9/2005,AIDA Hellas 2005 Summer Apnea Games,Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,Tom Sietas AIDA WR DYN 212m 2005 Greece,https://www.youtube.com/watch?v=Ewlrt_i-g4Y
DYN,Pedersen Peter,DK,200,7/18/2003,WR Attempt - PEDERSEN Peter (DYN),Men,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000007f,Peter Pedersen 200m Freediving World Record (DYN),https://www.youtube.com/watch?v=F4BgRlIF_9M
DYN,Nitsch Herbert,AT,183,11/16/2002,5th Night of Apnea,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
DYN,Nitsch Herbert,AT,170,2/24/2001,WR Attempt - NITSCH Herbert (DYN),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
DYN,Nitsch Herbert,AT,172,1/1/2001,Compiled rankings for year 2001,Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
DYN,Le Sauce Andy,FR,164,5/25/1996,WR Attempt - LESAUCE Andy (DYN),Men,https://fr.wikipedia.org/wiki/Andy_Le_Sauce,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000001,not_found,not_found
DYN,Brischigiaro Nicola,FR,155,10/8/1995,WR Attempt - BRISCHIGIARO Nicola (DYN),Men,https://it.wikipedia.org/wiki/Nicola_Brischigiaro,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e07,not_found,not_found
DYN,Le Sauce Andy,FR,140,9/2/1995,WR Attempt - LESAUCE Andy (DYN),Men,https://fr.wikipedia.org/wiki/Andy_Le_Sauce,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000001,not_found,not_found
DNF,Malina Mateusz,PL,244,7/1/2016,Pool World Championships 2016,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Freediving World Record Matt Malina (244 m DNF),https://www.youtube.com/watch?v=eRoTBCIgW7c
DNF,Malina Mateusz,PL,232,6/27/2016,Pool World Championships 2016,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Mateusz Malina Freediving World Record 232m Dynamic without Fins DNF Limitless,https://www.youtube.com/watch?v=V1nzf4DpLN0
DNF,Malina Mateusz,PL,226,11/9/2014,DNF miniComp,Men,https://sv.wikipedia.org/wiki/Mateusz_Malina,https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c,Mateusz Malina Freediving World Record 226m Dynamic No Fins,https://www.youtube.com/watch?v=frIb2jeXayY
DNF,Colak Goran,HR,225,11/21/2013,Goran Colak DNF WR Attempt,Men,https://en.wikipedia.org/wiki/Goran_%C4%8Colak,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000062d," Goran Colak, Dynamic No Fins World Record – 225m",https://www.youtube.com/watch?v=kjTD2CNnlco
DNF,Mullins David,NZ,218,9/27/2010,Cressi World Record Challenge,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,Dave Mullins 218 DNF World Record 27 Sept 2010.MOD,https://www.youtube.com/watch?v=PmAEjxkdxec
DNF,Mullins David,NZ,213,8/10/2008,Wellington Winter Champs 2008,Men,https://en.wikipedia.org/wiki/Dave_Mullins_(freediver),https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf,DNF 213m David Mullins,https://www.youtube.com/watch?v=01j3791X56c
DNF,Sietas Tom,DE,213,7/2/2008,WR Attempt - SIETAS Tom(STA-DYN-DNF),Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,not_found,not_found
DNF,Severinsen Stig Åvall,DK,186,7/4/2007,AIDA Pool World Championships with Finals,Men,https://en.wikipedia.org/wiki/Stig_Severinsen,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000044,AIDA World Championships 2007 - DNF Finals (Men),https://www.youtube.com/watch?v=fjK_aU3af_I
